fit_condition,file_type,parameter_type,spine_start,shrinkage&resize_factors,double_spine_area,RM,RA,CM,error
const_param,z_correct.swc,RA=120,20,"[1.0, 1.0]",False,5995.0,120.0,2.7488189770022933,0.13423106913789137
const_param,z_correct.swc,RA=150,20,"[1.0, 1.0]",False,5454.0,150.0,3.021483272300834,0.17491338919423624
const_param,z_correct.swc,RA_min_error,20,"[1.0, 1.0]",False,7676.0,46.0,2.1468433776874347,0.032150382395567036
const_param,z_correct.swc,min_CM,20,"[1.0, 1.0]",False,9062.0,1.0,1.8184914772819187,0.13821021921340226
const_param,z_correct.swc,RA_best_fit,20,"[1.0, 1.0]",False,6457.0,97.0,2.5521402767738497,0.1008926700894156
const_param,z_correct.swc,mean_best_10,20,"[1.0, 1.0]",False,7690.2,45.5,2.1431001998202,0.032826586231763995
const_param,z_correct.swc,RA=120,20,"[1.1, 1.1]",False,7308.0,120.0,2.254949338687568,0.11813406457425599
const_param,z_correct.swc,RA=150,20,"[1.1, 1.1]",False,6702.0,150.0,2.4588435940210007,0.15573547143496497
const_param,z_correct.swc,RA_min_error,20,"[1.1, 1.1]",False,9016.0,51.0,1.8277694950231531,0.032059585048254895
const_param,z_correct.swc,min_CM,20,"[1.1, 1.1]",False,10655.0,1.0,1.5466137744841622,0.1383894344854516
const_param,z_correct.swc,RA_best_fit,20,"[1.1, 1.1]",False,7593.0,107.0,2.1703107819213416,0.10096340388816266
const_param,z_correct.swc,mean_best_10,20,"[1.1, 1.1]",False,9031.1,50.5,1.824867788455975,0.03261081511461036
const_param,z_correct.swc,RA=120,20,"[1.1, 1.0]",False,6354.0,120.0,2.5935111374140303,0.15079724042781076
const_param,z_correct.swc,RA=150,20,"[1.1, 1.0]",False,5731.0,150.0,2.8754440354438575,0.19389710340708283
const_param,z_correct.swc,RA_min_error,20,"[1.1, 1.0]",False,8443.0,42.0,1.9518144933233148,0.03205825117059843
const_param,z_correct.swc,min_CM,20,"[1.1, 1.0]",False,9969.0,1.0,1.6530414050685873,0.13767412160882825
const_param,z_correct.swc,RA_best_fit,20,"[1.1, 1.0]",False,7114.0,88.0,2.316442193861224,0.10085012903476756
const_param,z_correct.swc,mean_best_10,20,"[1.1, 1.0]",False,8460.6,41.5,1.9479970393258104,0.032938879855731615
