cell_name,full_trace,passive_parameter,RA,relative_relation,relative,shrinkage_resize,double_spine_area,from_picture,before_shrink,syn_num,PSD,distance,lambda,g_NMDA_spine,W_AMPA,W_NMDA,tau1_AMPA,tau2_AMPA,tau1_NMDA,tau2_NMDA,E_PAS,RM,CM,soma_Rin,Rneck,neck_base_Rin,neck_base_Rtrans,neck_base_V_high,spine_head_Rin,spine_head_Rtrans,spine_head_V_high,V_soma_NMDA,V_soma_AMPA,V_syn_NMDA,V_syn_AMPA,total_L,syn_distance_real
2017_07_06_C_3-4,False,RA_min_error,95.0,0.1875,True,"[1.0, 1.0]",False,False,after,0,0.012,105.06841533549981,0.34434072428469464,2.8661891197225926e-05,0.42228186998666245,0.0007894736898008534,0.10030690016851712,1.000202116222232,14.409530019636499,99.34619155042965,-76.97532,15395.999999999998,1.1132617502272413,68.68958222035862,0.0,299.2868429102043,59.466103502394304,4.044826829956065,486.4111191503318,58.61338816847124,3.8141906510177677,0.0001176893702563575,0.15411600398061864,0.0006309297218223264,-72.93132571010901,8949.66969509863,241.39172989915778
2017_07_06_C_3-4,False,RA_min_error,95.0,1.0,True,"[1.0, 1.0]",False,False,after,1,0.064,241.39172989915778,0.44503137293067924,0.0001537396664188534,2.2521699732621996,0.004210526345604552,0.10030690016851712,1.000202116222232,14.409530019636499,99.34619155042965,-76.97532,15395.999999999998,1.1132617502272413,68.68958222035862,120.3604344942857,322.7986237643963,27.344053963175572,9.75192419520728,446.0423977593449,27.3432939026537,24.477626379527877,0.0002826907462036843,0.16366691637274755,0.005057770078877866,-52.49780374353249,8949.66969509863,241.39172989915778
2017_05_08_A_4-5,True,RA=70,70.0,1.0,False,"[1.0, 1.0]",False,False,after,0,0.14,84.45884918777321,0.14213102588176335,0.004133009143705335,2.7593596542550958,0.13554808412719754,0.2049203177161249,1.7492815912193058,14.994307687011323,89.14449588778979,-77.35445,12541.0,1.667349894031708,90.06349382160201,25.91356806915631,207.2368250336169,77.32737762298623,12.055295632142531,234.58040445390506,77.33497388220556,15.493569339027594,0.020962522444094134,1.2742518172004793,0.06804564139197566,-61.86524748114344,5327.417390244831,104.68733798756358
2017_07_06_C_4-3,True,RA_min_error,66.0,1.0,False,"[1.0, 1.0]",False,True,after,0,0.081,71.08675217951762,0.17780096813667862,0.006327778216679737,0.5900824040195436,0.24954254859266334,0.4,2.978065175705475,14.965399954966694,25.0,-80.44898,16768.0,0.873472273894936,80.74250013156082,65.25527064031671,228.52647798250285,78.80251112406354,6.494374952773015,295.4134676225548,78.8009762881326,9.239233865851972,0.032153329246909834,0.707631236670494,0.1367107269581993,-71.23176018214383,3383.6156657340007,53.525352203835126
2017_04_03_B,True,RA=70,70.0,1.0,False,"[1.0, 1.0]",False,False,after,0,0.109,149.91242756013435,0.12783527156823082,0.005533831961885068,6.959766774321961,0.1887905708459669,0.10006689265283034,1.000000952827215,14.995777975392082,99.99710290790217,-77.873726,5806.0,2.506740557078127,63.63929075169245,56.44146673760597,164.41986617617724,49.24092216765798,16.238220189421696,222.50690579813437,49.256061734578175,31.627534150041747,0.019306591968714315,1.1102893096709465,0.09131679630603173,-46.24936688668777,1865.094855533176,134.3125791737986
2017_05_08_A_5-4,True,RA_min_error,70.0,1.0,True,"[1.0, 1.0]",False,False,after,0,0.066,77.29041898537959,0.37828388492943105,0.013443268276082856,3.073385026116094,0.35533752664516804,0.36971672624492585,1.844576101586215,14.579477090481303,99.98791049475126,-78.1671,6428.0,2.7234747790513514,55.58047904037797,72.21407261083529,231.7806234937486,52.397700970280845,22.845210723010716,306.8399034584631,52.45810063311892,33.06103200317557,0.04574482215757314,1.3790764155871216,0.28788719397556406,-45.18697699194625,775.1288812598051,60.48585017795613
2017_05_08_A_5-4,True,RA_min_error,70.0,0.21212121212121213,True,"[1.0, 1.0]",False,False,after,1,0.014,79.88559203608607,0.3330800707164562,0.0026540203859042573,0.6519301570549291,0.07537462686412655,0.36971672624492585,1.844576101586215,14.579477090481303,99.98791049475126,-78.1671,6428.0,2.7234747790513514,55.58047904037797,96.03143701976956,224.3250559939486,51.918929460428814,7.180414790548326,323.71930439517405,51.93373198572293,11.42406811613209,0.0094366315946246,0.3921619149229656,0.06346187657045732,-66.89573347105217,775.1288812598051,60.48585017795613
2017_02_20_B,True,RA=70,70.0,1.0,True,"[1.0, 1.0]",False,True,after,0,0.034,87.47837637726546,0.18433610008567483,0.0001406995752151745,0.4589271928397467,0.0027868852459016396,0.1491327263489881,1.0003849655303367,5.000020722883678,25.000000000000014,-78.78745,12094.0,1.3918221639034365,118.30151785341698,38.151767571136865,260.3642979911918,111.2564308368003,5.789207948553326,301.2782087604443,111.25510276784225,7.595111950162973,0.0007886670954064812,0.5536089533548676,0.0026264928482930827,-71.20792381494492,3695.5316103384257,114.5927771554136
2017_02_20_B,True,RA=70,70.0,0.7941176470588235,True,"[1.0, 1.0]",False,True,after,1,0.027,90.38248120341727,0.3199755928835019,0.00011189544387610563,0.3644421825492106,0.0022131147540983605,0.1491327263489881,1.0003849655303367,5.000020722883678,25.000000000000014,-78.78745,12094.0,1.3918221639034365,118.30151785341698,24.126912270365242,196.59087169154716,84.24785191308787,2.5534432977923984,223.03212082463884,84.24677830858033,3.6876744834370925,0.0004522160989921531,0.22526913911683266,0.0014260378062687096,-75.10859161842548,3695.5316103384257,114.5927771554136
2016_08_30_A,True,RA_best_fit,97.0,1.0,False,"[1.0, 1.0]",False,False,after,0,0.031,69.60453281337621,0.3551072689278396,0.005007715878346454,0.9263802877455074,0.1930799717869325,0.10000042082273622,2.470923549195918,3.1114810652325082,90.0,-81.33578,6457.0,2.5521402767738497,62.08564153066709,15.16689763362944,226.6563457872888,55.28702943628293,6.950397319236188,244.97711563793172,55.29002108303544,7.758801598774085,0.016188417010667422,0.5736614428865465,0.08339420804482245,-73.59853838454866,4186.65690785372,69.60453281337621
