cell_name,full_trace,passive_parameter,RA,relative_relation,relative,shrinkage_resize,double_spine_area,from_picture,before_shrink,syn_num,PSD,distance,lambda,g_NMDA_spine,W_AMPA,W_NMDA,tau1_AMPA,tau2_AMPA,tau1_NMDA,tau2_NMDA,E_PAS,RM,CM,soma_Rin,Rneck,neck_base_Rin,neck_base_Rtrans,neck_base_V_high,spine_head_Rin,spine_head_Rtrans,spine_head_V_high,V_soma_NMDA,V_soma_AMPA,V_syn_NMDA,V_syn_AMPA
2017_07_06_C_3-4,False,RA_min_error,95.0,0.1875,True,"[1.0, 1.0]",False,False,after,0,0.012,105.06841533549981,0.34434072428469464,0.0,2.0,0,0.10030690016851712,1.000202116222232,14.409530019636499,99.34619155042965,-76.97532,15395.999999999998,1.1132617502272413,68.68930492949161,0.0,299.28343149395454,59.46532033736301,14.173530036690117,486.4078048687582,58.61261623364992,13.37760767934985,0.0001176893702563575,0.15411600398061864,0.0006309297218223264,-72.93132571010901
2017_07_06_C_3-4,False,RA_min_error,95.0,1.0,True,"[1.0, 1.0]",False,False,after,1,0.064,241.39172989915778,0.44503137293067924,0.0,2.0,0,0.10030690016851712,1.000202116222232,14.409530019636499,99.34619155042965,-76.97532,15395.999999999998,1.1132617502272413,68.68930492949161,120.3604344942857,322.7781226435602,27.34226719765141,7.850361965756534,446.00327024595714,27.340844697380522,19.87819497485208,0.0002826907462036843,0.16366691637274755,0.005057770078877866,-52.49780374353249
2017_05_08_A_4-5,True,RA_best_fit,59.0,1.0,False,"[1.0, 1.0]",False,False,after,0,0.14,84.45884918777321,0.12871298097265277,0.0,2.0,0,0.2946550094630665,1.735618187235187,14.65407351210989,86.81950814795881,-77.35445,12889.0,1.6223318349795677,90.05431627348439,21.841435944003173,190.06095062352279,79.25161189990466,9.079732602008846,213.0606093398766,79.24955145054436,11.41011768041973,0.020532732515249563,1.2743837837872434,0.05868587545460002,-63.87922691935924
2017_07_06_C_4-3,True,RA_min_error,66.0,1.0,False,"[1.0, 1.0]",False,True,after,0,0.081,71.08675217951762,0.17780096813667862,0.0,2.0,0,0.4,2.978065175705475,14.965399954966694,25.0,-80.44898,16768.0,0.873472273894936,80.74059144686126,65.25527064031671,228.5104260566961,78.79697595779402,17.329015358936616,295.38664312535565,78.79382090496311,24.63641162695535,0.032153329246909834,0.707631236670494,0.1367107269581993,-71.23176018214383
2017_04_03_B,True,RA=70,70.0,1.0,False,"[1.0, 1.0]",False,False,after,0,0.109,149.91242756013435,0.12783527156823082,0.0,2.0,0,0.10006689265283034,1.000000952827215,14.995777975392082,99.99710290790217,-77.873726,5806.0,2.506740557078127,63.62143768135759,56.44146673760597,164.22081298629743,49.181309160683675,6.409585080989245,222.142587876873,49.17541315445972,12.68580608655607,0.019306591968714315,1.1102893096709465,0.09131679630603173,-46.24936688668777
2017_05_08_A_5-4,True,RA_min_error,70.0,1.0,True,"[1.0, 1.0]",False,False,after,0,0.066,77.29041898537959,0.37828388492943105,0.0,2.0,0,0.36971672624492585,1.844576101586215,14.579477090481303,99.98791049475126,-78.1671,6428.0,2.7234747790513514,55.52553330584179,72.21407261083529,230.88209296788816,52.18757738294224,15.141854254600617,305.27506306514766,52.183115636999545,21.8466342026585,0.04574482215757314,1.3790764155871216,0.28788719397556406,-45.18697699194625
2017_05_08_A_5-4,True,RA_min_error,70.0,0.21212121212121213,True,"[1.0, 1.0]",False,False,after,1,0.014,79.88559203608607,0.3330800707164562,0.0,2.0,0,0.36971672624492585,1.844576101586215,14.579477090481303,99.98791049475126,-78.1671,6428.0,2.7234747790513514,55.52553330584179,96.03143701976956,224.10867357810187,51.83556631821455,14.580816421090965,323.3118097954608,51.83226302751268,23.647257600549608,0.0094366315946246,0.3921619149229656,0.06346187657045732,-66.89573347105217
2017_02_20_B,True,RA=70,70.0,1.0,True,"[1.0, 1.0]",False,True,after,0,0.034,87.47837637726546,0.18433610008567483,0.0,2.0,0,0.1491327263489881,1.0003849655303367,5.000020722883678,25.000000000000014,-78.78745,12094.0,1.3918221639034365,118.30147328639626,38.151767571136865,260.36411794912067,111.25634605903181,12.487719758324758,301.2779718640345,111.25500672790156,16.356526520040234,0.0007886670954064812,0.5536089533548676,0.0026264928482930827,-71.20792381494492
2017_02_20_B,True,RA=70,70.0,0.7941176470588235,True,"[1.0, 1.0]",False,True,after,1,0.027,90.38248120341727,0.3199755928835019,0.0,2.0,0,0.1491327263489881,1.0003849655303367,5.000020722883678,25.000000000000014,-78.78745,12094.0,1.3918221639034365,118.30147328639626,24.126912270365242,196.5907802327025,84.2477975665413,7.146690211711487,223.0320075655633,84.24671958542282,10.32396919087526,0.0004522160989921531,0.22526913911683266,0.0014260378062687096,-75.10859161842548
2016_08_30_A,True,RA_best_fit,97.0,1.0,False,"[1.0, 1.0]",False,False,after,0,0.031,69.60453281337621,0.35510726892783956,0.0,2.0,0,0.10000042082273622,2.470923549195918,3.1114810652325082,90.0,-81.33578,6457.0,2.5521402767738497,62.07358286082161,15.16689763362944,226.4536761651773,55.23759335574208,13.588214198432453,244.74038365975477,55.23659194524653,15.178529752615262,0.016188417010667422,0.5736614428865465,0.08339420804482245,-73.59853838454866
2016_05_12_A,True,RA_min_error,122.0,1.0,True,"[1.0, 1.0]",False,True,after,0,0.07,62.66962965173657,0.5177885454256725,0.0,2.0,0,0.31848902038236276,1.5269705714928228,15.0,100.0,-82.57625,7147.999999999999,2.426165068879837,55.04986733485173,130.45223087362766,149.3940947600745,41.128534225452086,9.07007239724338,283.1700053221683,41.12296718978567,23.915760499752686,0.005607607280168736,0.3810144615204649,0.04164675358251202,-69.28734403862553
2016_05_12_A,True,RA_min_error,122.0,0.9285714285714285,True,"[1.0, 1.0]",False,True,after,1,0.065,56.67610676012794,0.5159815757258952,0.0,2.0,0,0.31848902038236276,1.5269705714928228,15.0,100.0,-82.57625,7147.999999999999,2.426165068879837,55.04986733485173,43.12828183785104,208.9194187452527,45.22785886779766,12.80167107444204,254.68862308287078,45.224144935747105,17.753313479151416,0.00575152481141572,0.40094619746231785,0.03459833871028195,-73.81374556878032
2016_04_16_A,True,RA_min_error,64.0,1.0,True,"[1.0, 1.0]",False,False,after,0,0.154,184.10093784905558,0.11272837308102042,0.0,2.0,0,0.10151248009896661,1.000000675107647,4.314535389443675,46.133106073622905,-72.55629,16962.0,0.9262712324288594,73.79574857907762,6.423004960948352,94.58862569278476,53.27828827890656,3.6365680503719773,102.42296390600697,53.278043041357606,4.435618931237542,0.051819374762416714,1.499304024263438,0.10600212098970019,-59.11113002033805
2016_04_16_A,True,RA_min_error,64.0,0.7272727272727273,True,"[1.0, 1.0]",False,False,after,1,0.112,163.8446550144456,0.3075040259591702,0.0,2.0,0,0.10151248009896661,1.000000675107647,4.314535389443675,46.133106073622905,-72.55629,16962.0,0.9262712324288594,73.79574857907762,160.63889723949094,87.1924169070199,53.64382844422601,1.8636358139006148,249.40397159717241,53.638685106942404,18.674872858122576,0.037966253641101844,0.8549152040366153,0.21501918625176586,-38.42705048842672
2017_03_04_A_6-7,True,RA_min_error,63.0,1.0,True,"[1.0, 1.0]",False,False,after,0,0.114,26.24259028130588,0.33380459288675673,0.0,2.0,0,0.3983770010903924,1.7037295235676024,6.160225004627065,25.000000000000004,-78.43818,13559.000000000002,1.3537666831458794,69.2858476559563,34.08518137440105,92.43188548837631,65.82847094627324,4.310899368473017,128.04730951163316,65.82675526503309,9.018844375274256,0.029421515748410343,1.3843242167517644,0.0655301913303532,-68.144001847142
