cell_name,decay,dot1_tau_m,dot2_tau_m,tau1,dots3_tau1,dots4_tau1
2017_04_03_B,14554.135674395604,68,373,358.40505030920616,1,7
2016_04_16_A,15711.412644458314,140,440,4922.650922158957,34,50
