cell_name,start,end,len
2017_07_06_C_3-4,1999,3999,2000
2017_05_08_A_4-5,2000,4001,2001
2017_07_06_C_4-3,1999,3999,2000
2017_04_03_B,1999,3999,2000
2017_05_08_A_5-4,2000,4000,2000
2017_02_20_B,1998,3498,1500
2016_08_30_A,2000,3499,1499
2016_05_12_A,2000,3000,1000
2016_04_16_A,2517,3517,1000
2017_03_04_A_6-7,2000,4000,2000
