decay,dot1_tau_m,dot2_tau_m,tau1,dots3_tau1,dots4_tau1,cells_name
19011.43254481729,190,397,6193.701378479778,43,85,2017_07_06_C_4-3
19011.43254481729,190,397,6193.701378479778,43,85,2017_07_06_C_4-3
