cell_name,full_trace,passive_parameter,RA,relative_relation,relative,shrinkage_resize,double_spine_area,from_picture,before_shrink,syn_num,PSD,distance,lambda,g_NMDA_spine,W_AMPA,W_NMDA,tau1_AMPA,tau2_AMPA,tau1_NMDA,tau2_NMDA,E_PAS,RM,CM,soma_Rin,Rneck,neck_base_Rin,neck_base_Rtrans,neck_base_V_high,spine_head_Rin,spine_head_Rtrans,spine_head_V_high,V_soma_NMDA,V_soma_AMPA,V_syn_NMDA,V_syn_AMPA
2017_05_08_A_5-4,True,RA_min_error,70.0,1.0,True,"[1.0, 1.0]",False,False,after,0,0.066,77.29041898537959,0.37828388492943105,0.0,2.0,0,0.36971672624492585,1.844576101586215,14.579477090481303,99.98791049475126,-78.1671,6428.0,2.7234747790513514,55.52553330584179,72.21407261083529,230.88209296788816,52.18757738294224,15.141854254600617,305.27506306514766,52.183115636999545,21.8466342026585,0.04574482215757314,1.3790764155871216,0.28788719397556406,-45.18697699194625
2017_05_08_A_5-4,True,RA_min_error,70.0,0.21212121212121213,True,"[1.0, 1.0]",False,False,after,1,0.014,79.88559203608607,0.3330800707164562,0.0,2.0,0,0.36971672624492585,1.844576101586215,14.579477090481303,99.98791049475126,-78.1671,6428.0,2.7234747790513514,55.52553330584179,96.03143701976956,224.10867357810187,51.83556631821455,14.580816421090965,323.3118097954608,51.83226302751268,23.647257600549608,0.0094366315946246,0.3921619149229656,0.06346187657045732,-66.89573347105217
2017_05_08_A_5-4,True,RA_best_fit,182.0,1.0,True,"[1.0, 1.0]",False,False,after,0,0.066,77.29041898537959,0.663349909704875,0.0,2.0,0,0.11616760719448974,1.1413947797840267,3.7653126447713086,89.94950768493638,-78.1671,5435.0,3.221066399216576,57.447023905257794,187.7565887881717,468.9168459908271,47.89944312107329,13.824816730673618,662.1665158575628,47.886852435067894,27.538382119048322,0.06086001230583804,1.210374494492143,1.5254329419029915,-14.000930417055029
2017_05_08_A_5-4,True,RA_best_fit,182.0,0.21212121212121213,True,"[1.0, 1.0]",False,False,after,1,0.014,79.88559203608607,0.5840815420288722,0.0,2.0,0,0.11616760719448974,1.1413947797840267,3.7653126447713086,89.94950768493638,-78.1671,5435.0,3.221066399216576,57.447023905257794,249.68173625140082,456.8742902574569,47.01494835589137,13.511001691588035,714.6713055359089,47.0057363487309,31.503679517862267,0.0113863080641039,0.5404858044066714,0.22751576352118263,-35.7544281145438
2017_05_08_A_5-4,True,RA=70,70.0,1.0,True,"[1.0, 1.0]",False,False,after,0,0.066,77.29041898537959,0.37828388492943105,0.0,2.0,0,0.36971672624492585,1.844576101586215,14.579477090481303,99.98791049475126,-78.1671,6428.0,2.7234747790513514,55.52553330584179,72.21407261083529,230.88209296788816,52.18757738294224,15.141854254600617,305.27506306514766,52.183115636999545,21.8466342026585,0.04574482215757314,1.3790764155871216,0.28788719397556406,-45.18697699194625
2017_05_08_A_5-4,True,RA=70,70.0,0.21212121212121213,True,"[1.0, 1.0]",False,False,after,1,0.014,79.88559203608607,0.3330800707164562,0.0,2.0,0,0.36971672624492585,1.844576101586215,14.579477090481303,99.98791049475126,-78.1671,6428.0,2.7234747790513514,55.52553330584179,96.03143701976956,224.10867357810187,51.83556631821455,14.580816421090965,323.3118097954608,51.83226302751268,23.647257600549608,0.0094366315946246,0.3921619149229656,0.06346187657045732,-66.89573347105217
2017_05_08_A_5-4,True,RA=100,100.0,1.0,True,"[1.0, 1.0]",False,False,after,0,0.066,77.29041898537959,0.4639042535516423,0.0,2.0,0,0.16250252112564215,1.7698645241303887,14.225476509125745,89.99999999999774,-78.1671,6106.0,2.8670972616675545,56.16244601125605,103.16296087262182,300.15330065961524,51.21954274453949,15.138386712303884,406.4044261808991,51.21295741056901,23.039687868521256,0.04861139827697514,1.340917979539384,0.42059368161140753,-36.26970427188669
2017_05_08_A_5-4,True,RA=100,100.0,0.21212121212121213,True,"[1.0, 1.0]",False,False,after,1,0.014,79.88559203608607,0.4084690565326911,0.0,2.0,0,0.16250252112564215,1.7698645241303887,14.225476509125745,89.99999999999774,-78.1671,6106.0,2.8670972616675545,56.16244601125605,137.18776717109935,291.3011405181827,50.71533646466105,14.683834866746722,433.0013581405297,50.710476119991576,25.51422423562851,0.009922819684092588,0.4279193760858817,0.0927320331848307,-61.222651273731294
2017_05_08_A_5-4,True,RA=150,150.0,1.0,True,"[1.0, 1.0]",False,False,after,0,0.066,77.29041898537959,0.5895526019850922,0.0,2.0,0,0.10055618694721141,1.4675664771429833,13.580470261662365,90.0,-78.1671,5671.0,3.0870209627476792,56.98684567275178,154.74444130893275,406.58166684268804,49.26287655481488,14.677686682796747,565.8949334416354,49.25264787042238,25.371005330536562,0.050847737539342575,1.2748523796387445,0.6406318949969858,-23.211193396320013
2017_05_08_A_5-4,True,RA=150,150.0,0.21212121212121213,True,"[1.0, 1.0]",False,False,after,1,0.014,79.88559203608607,0.5191027960308108,0.0,2.0,0,0.10055618694721141,1.4675664771429833,13.580470261662365,90.0,-78.1671,5671.0,3.0870209627476792,56.98684567275178,205.78165075664904,395.36667599753423,48.5193589516237,14.311182897406404,607.8686831943367,48.51184949011546,28.85556749954832,0.010216072076104865,0.4915152413193056,0.1413354578388919,-48.81730238625074
