fit_condition,file_type,parameter_type,spine_start,shrinkage&resize_factors,double_spine_area,RM,RA,CM,error,same_strange,weight_AMPA,weight_NMDA,exp2syn_tau1,exp2syn_tau2,NMDA_tau_r_NMDA,NMDA_tau_d_NMDA
const_param,z_correct.swc,RA=120,20,"[1.0, 1.0]",True,6877.0,120.0,3.0247470312139453,0.0604970082334349,same_strange,0.009999502639674631,2.4280292693385346e-07,1.714488776381748,1.2208492622864475,9.376984876837264,48.46963155411824
const_param,z_correct.swc,RA_min_error,20,"[1.0, 1.0]",True,7186.0,87.0,2.894682067027317,0.0548152710066319,same_strange,0.009999964702336349,4.463921999057339e-09,1.807770052162656,0.9139965192943086,11.10957172483528,62.27051308177748
const_param,z_correct.swc,RA=150,20,"[1.0, 1.0]",True,6632.0,150.0,3.1364875352319515,0.0710948097378053,same_strange,0.009999430672934222,1.0515686926593679e-06,1.745894501086515,1.527794324564081,11.135422620017243,55.25728544248678
const_param,z_correct.swc,RA_best_fit,20,"[1.0, 1.0]",True,6215.0,210.0,3.34693247524671,0.1016853696758864,same_strange,0.009997895620884944,1.0127093424527566e-05,2.095066934833279,2.3994657997660234,9.85125008484006,67.90643984208312
const_param,z_correct.swc,RA=120,20,"[1.1, 1.1]",False,8030.0,120.0,2.5904340390608094,0.0593229079138035,same_strange,0.00999968213761015,1.6816552435912227e-07,1.734890293963198,0.9488892849168231,13.130033873865306,82.21657634822051
const_param,z_correct.swc,RA_min_error,20,"[1.1, 1.1]",False,8321.0,92.0,2.4998420062081843,0.0560895599350609,same_strange,0.009998361030140703,1.545332340650935e-06,1.8086010205170162,0.7499151919974456,14.90305557050021,89.56923659532183
const_param,z_correct.swc,RA=150,20,"[1.1, 1.1]",False,7757.0,150.0,2.6816018220521207,0.0677286540438328,same_strange,0.009998881314069074,4.281696635067334e-07,1.9968008774245483,1.180171372081827,11.648185227293839,58.33858523180622
const_param,z_correct.swc,RA_best_fit,20,"[1.1, 1.1]",False,7156.0,230.0,2.9068174026912104,0.1000024425954928,same_strange,0.009998568765165878,1.161846577622437e-06,1.9814487034486994,1.9074652586160017,10.807770134884871,58.22097039793907
const_param,z_correct.swc,RA=120,20,"[1.0, 1.2]",False,8227.0,120.0,2.5284046838043395,0.0562258636915589,same_strange,0.00999970655888016,2.1665721785034952e-11,2.0120056143119616,0.809677372423103,10.761891537739464,68.06449349588095
const_param,z_correct.swc,RA_min_error,20,"[1.0, 1.2]",False,8210.0,122.0,2.533640113722083,0.0561108541368792,same_strange,0.009998313785480033,5.254030854541193e-07,1.7695666487932056,0.8216682015088861,14.582178235464188,89.12849776571801
const_param,z_correct.swc,RA=150,20,"[1.0, 1.2]",False,7988.0,150.0,2.604054248079407,0.0585628582121692,same_strange,0.00999998791191151,3.3945150086268094e-08,1.693218417503894,0.9948981233949199,12.18412215285897,79.26455843135524
const_param,z_correct.swc,RA_best_fit,20,"[1.0, 1.2]",False,7076.0,300.0,2.93968136428184,0.0994865062447482,same_strange,0.009994750233197921,8.157025013052746e-06,2.0930006222660262,2.25654490996397,11.775731431902468,76.21356710873303
const_param,z_correct.swc,RA=120,20,"[1.0, 1.0]",False,6571.0,120.0,3.165604220614564,0.0621556484003648,same_strange,0.009999535198183376,8.378576507678878e-08,1.7596249921809086,1.0167010157605183,7.272134590009995,84.03963316852396
