fit_condition,file_type,parameter_type,spine_start,shrinkage&resize_factors,double_spine_area,RM,RA,CM,error
const_param,z_correct.swc,RA=120,20,"[1.0, 1.0]",False,14929.0,120.0,1.1480861348046492,0.03890017208172155
const_param,z_correct.swc,RA=150,20,"[1.0, 1.0]",False,13906.0,150.0,1.2325455131956427,0.05525633739892313
const_param,z_correct.swc,RA_min_error,20,"[1.0, 1.0]",False,15587.0,103.0,1.0996200620067111,0.035365954762250455
const_param,z_correct.swc,min_CM,20,"[1.0, 1.0]",False,21550.0,1.0,0.7953493228073599,0.21825426702233736
const_param,z_correct.swc,RA_best_fit,20,"[1.0, 1.0]",False,12086.0,216.0,1.4181514071238297,0.10106587152028089
const_param,z_correct.swc,mean_best_10,20,"[1.0, 1.0]",False,15608.5,102.5,1.09816712153217,0.03551795375548444
const_param,z_correct.swc,RA=120,20,"[1.1, 1.1]",False,18168.0,120.0,0.9434047724845116,0.035573416304678425
const_param,z_correct.swc,RA=150,20,"[1.1, 1.1]",False,17005.0,150.0,1.0079257810349078,0.045366532998285906
const_param,z_correct.swc,RA_min_error,20,"[1.1, 1.1]",False,18336.0,116.0,0.9347610114800723,0.03523069191832206
const_param,z_correct.swc,min_CM,20,"[1.1, 1.1]",False,25434.0,1.0,0.673892345148172,0.2187006824423159
const_param,z_correct.swc,RA_best_fit,20,"[1.1, 1.1]",False,14236.0,242.0,1.203974283963094,0.1009071694176948
const_param,z_correct.swc,mean_best_10,20,"[1.1, 1.1]",False,18358.7,115.5,0.9336468203770668,0.0353881574050153
const_param,z_correct.swc,RA=120,20,"[1.1, 1.0]",False,16066.0,120.0,1.0668354230361388,0.04363518593168141
const_param,z_correct.swc,RA=150,20,"[1.1, 1.0]",False,14907.0,150.0,1.1497804995303285,0.06357813474564751
const_param,z_correct.swc,RA_min_error,20,"[1.1, 1.0]",False,17144.0,96.0,0.9997537276305767,0.03530037306594067
const_param,z_correct.swc,min_CM,20,"[1.1, 1.0]",False,23793.0,1.0,0.7203706092757789,0.2178418083734065
const_param,z_correct.swc,RA_best_fit,20,"[1.1, 1.0]",False,13362.0,198.0,1.2827254831985186,0.10051651105488281
const_param,z_correct.swc,mean_best_10,20,"[1.1, 1.0]",False,17169.8,95.5,0.998317262973927,0.03547284920903853
