cell_name,full_trace,passive_parameter,RA,relative_relation,relative,shrinkage_resize,double_spine_area,from_picture,before_shrink,syn_num,PSD,distance,lambda,g_NMDA_spine,W_AMPA,W_NMDA,tau1_AMPA,tau2_AMPA,tau1_NMDA,tau2_NMDA,E_PAS,RM,CM,soma_Rin,Rneck,neck_base_Rin,neck_base_Rtrans,neck_base_V_high,spine_head_Rin,spine_head_Rtrans,spine_head_V_high,V_soma_NMDA,V_soma_AMPA,V_syn_NMDA,V_syn_AMPA
2017_07_06_C_3-4,False,RA_min_error,86.0,[0.1875 1.    ],True,"[1.1, 1.0]",False,False,after,0,0.012,115.5752568690498,0.342269664205916,2.8681128253710964e-05,0.4178667524087501,0.0007894752367660076,0.10005372514346259,1.0001514020720335,14.899960071812886,79.24301230220117,-76.97532,17069.0,1.0041465760442092,68.91237336267766,0.0,298.80803109433646,298.8080310943365,4.0099911378300845,485.15986731858357,485.15986731858357,3.7851916076324414,0.00011660296023308092,0.15339219475995947,0.000627154514560857,-72.96620322849257
2017_07_06_C_3-4,False,RA_min_error,86.0,[0.1875 1.    ],True,"[1.1, 1.0]",False,False,after,1,0.064,265.53090288907356,0.44197329500869226,0.00015404804826901937,2.228622679513334,0.004210534596085374,0.10005372514346259,1.0001514020720335,14.899960071812886,79.24301230220117,-76.97532,17069.0,1.0041465760442092,68.91237336267766,108.95786701587969,322.94984348051776,322.9498434805178,9.845721105351586,434.5175955074774,434.51759550747744,23.206685311337807,0.00028100159171629,0.16643115912918915,0.0049054913198034455,-53.7687825097744
2017_07_06_C_3-4,False,RA_min_error,95.0,[0.1875 1.    ],True,"[1.0, 1.0]",False,False,after,0,0.012,105.06841533549981,0.34434072428469464,2.8661891197225926e-05,0.42228186998666245,0.0007894736898008534,0.10030690016851712,1.000202116222232,14.409530019636499,99.34619155042965,-76.97532,15395.999999999998,1.1132617502272413,68.68958222035862,0.0,299.2868429102043,299.2868429102044,4.044826829956065,486.4111191503318,486.4111191503318,3.8141906510177677,0.0001176893702563575,0.15411600398061864,0.0006309297218223264,-72.93132571010901
2017_07_06_C_3-4,False,RA_min_error,95.0,[0.1875 1.    ],True,"[1.0, 1.0]",False,False,after,1,0.064,241.39172989915778,0.4450313729306792,0.0001537396664188534,2.2521699732621996,0.004210526345604552,0.10030690016851712,1.000202116222232,14.409530019636499,99.34619155042965,-76.97532,15395.999999999998,1.1132617502272413,68.68958222035862,120.3604344942857,322.7986237643963,322.7986237643962,9.75192419520728,446.0423977593449,446.04239775934485,24.477626379527877,0.0002826907462036843,0.16366691637274755,0.005057770078877866,-52.49780374353249
2017_07_06_C_3-4,False,RA=150,150.0,[0.1875 1.    ],True,"[1.0, 1.0]",False,False,after,0,0.012,105.06841533549981,0.4647647162139935,2.8660330426819607e-05,0.6515088462920505,0.0007895787577440194,0.10253395250159804,1.0000397946240607,14.877050771507733,88.72778551023552,-76.97532,13344.000000000002,1.2844557783647037,68.59185978252644,0.0,413.2770726522811,413.27707265228116,7.056265578962922,698.6947899010265,698.6947899010265,6.338820751369781,0.00010561966672639755,0.1885879251913849,0.0008807849358589692,-69.91924946542034
2017_07_06_C_3-4,False,RA=150,150.0,[0.1875 1.    ],True,"[1.0, 1.0]",False,False,after,1,0.064,241.39172989915778,0.6006692359032263,0.00015546240238602138,3.4747138468909364,0.004211086707968104,0.10253395250159804,1.0000397946240607,14.877050771507733,88.72778551023552,-76.97532,13344.000000000002,1.2844557783647037,68.59185978252644,190.0427913067669,398.2936813045822,398.29368130458226,13.336548876712364,592.8632838239901,592.8632838239901,39.61352323205651,0.00017778449775107674,0.11597396313482022,0.006748696285086453,-37.361970531983246
2017_07_06_C_3-4,False,RA=100,100.0,[0.1875 1.    ],True,"[1.0, 1.0]",False,False,after,0,0.012,105.06841533549981,0.3557555967850158,2.8664353210813196e-05,0.4394785542271471,0.0007894736908380444,0.10256632524348044,1.000794136256601,14.99330806502737,89.96095169838382,-76.97532,15183.0,1.1288795301652246,68.6837839625576,0.0,310.2540631567179,310.2540631567179,4.3005840619075,506.647874423781,506.647874423781,4.036976136357254,0.00011623111404901465,0.15773714007561068,0.0006544596987367868,-72.6754296756476
2017_07_06_C_3-4,False,RA=100,100.0,[0.1875 1.    ],True,"[1.0, 1.0]",False,False,after,1,0.064,241.39172989915778,0.4597841338514194,0.00015391806148761647,2.3438856225447844,0.004210526351136236,0.10256632524348044,1.000794136256601,14.99330806502737,89.96095169838382,-76.97532,15183.0,1.1288795301652246,68.6837839625576,126.69519420451127,331.0820534561063,331.0820534561062,10.135956639813983,460.8091496006138,460.8091496006138,25.896434011805127,0.00026913821838547847,0.15883637625475444,0.005222897832979356,-51.07900164986111
2017_07_06_C_3-4,False,RA_best_fit,192.0,[0.1875 1.    ],True,"[1.0, 1.0]",False,False,after,0,0.012,105.06841533549981,0.5520530539768775,2.8916079875603577e-05,0.8609450111921594,0.0007898147512670255,0.10224162390798856,1.0002041082651605,7.837849455376483,51.56534313966463,-76.97532,12106.0,1.4158085169749386,68.51605282570478,0.0,490.5273944078592,490.5273944078592,9.618958863294395,845.2944232606495,845.2944232606495,8.228726515463535,8.623890653325361e-05,0.20864322189392226,0.001026499134951564,-67.35646550261684
2017_07_06_C_3-4,False,RA_best_fit,192.0,[0.1875 1.    ],True,"[1.0, 1.0]",False,False,after,1,0.064,241.39172989915778,0.7134820577852409,0.00026456013264780187,4.591706726358184,0.004212345340090802,0.10224162390798856,1.0002041082651605,7.837849455376483,51.56534313966463,-76.97532,12106.0,1.4158085169749386,68.51605282570478,243.25477287266162,438.78048292920266,438.7804829292027,15.170603846231906,687.7709760920468,687.7709760920469,48.78391853661427,0.00011421976189751604,0.08852299191856616,0.007799668803414761,-28.191733783417153
2017_07_06_C_3-4,False,RA=70,70.0,[0.1875 1.    ],True,"[1.0, 1.0]",False,False,after,0,0.012,105.06841533549981,0.28489117211327286,2.8910910179670445e-05,0.32614449614675634,0.0007894736842105263,0.10716802237979793,1.0004886467303382,6.233142514278536,25.00000068823134,-76.97532,16573.0,1.0341988720508422,68.7317795665752,0.0,242.67492686522084,242.6749268652208,2.798872606334257,382.51162048083705,382.51162048083717,2.6832697113175357,9.3285194665782e-05,0.13367124983034273,0.0004616902260892175,-74.17791180737709
2017_07_06_C_3-4,False,RA=70,70.0,[0.1875 1.    ],True,"[1.0, 1.0]",False,False,after,1,0.064,241.39172989915778,0.36819783580572457,0.00016273606415473867,1.7394373127827003,0.004210526315789474,0.10716802237979793,1.0004886467303382,6.233142514278536,25.00000068823134,-76.97532,16573.0,1.0341988720508422,68.7317795665752,88.68663594315788,275.72443046195525,275.7244304619552,7.640335959359788,366.5285265111832,366.52852651118303,17.007774977561155,0.00026192184219553383,0.18938029828154868,0.0038383438372449064,-59.96782792438741
