cell_name,full_trace,passive_parameter,RA,relative_relation,relative,shrinkage_resize,double_spine_area,from_picture,before_shrink,syn_num,PSD,distance,lambda,g_NMDA_spine,W_AMPA,W_NMDA,tau1_AMPA,tau2_AMPA,tau1_NMDA,tau2_NMDA,E_PAS,RM,CM,soma_Rin,Rneck,neck_base_Rin,neck_base_Rtrans,neck_base_V_high,spine_head_Rin,spine_head_Rtrans,spine_head_V_high,V_soma_NMDA,V_soma_AMPA,V_syn_NMDA,V_syn_AMPA,total_L,syn_distance_real
2017_02_20_B,True,RA_best_fit,51.0,1.0,True,"[1.0, 1.0]",False,True,before,0,0.034,79.52196930235338,0.14652072023582924,0.00014087773176782895,0.21312440340517208,0.0027868852459016396,0.26036813983642404,1.4693129707231676,3.148149677381903,25.0,-78.78745,11553.0,1.4569979442783834,118.25369799413347,27.79628780182829,213.79045896961483,113.71902461824969,2.564493759544675,243.59987048122576,113.71798743143431,3.309891142108455,0.0007368099889788482,0.3801936827661194,0.0019021667347658422,-75.49871990081064,,
2017_02_20_B,True,RA_best_fit,51.0,0.7941176470588235,True,"[1.0, 1.0]",False,True,before,1,0.027,82.20196062349557,0.2540916323498912,0.00011173846049611216,0.16924584976293075,0.0022131147540983605,0.26036813983642404,1.4693129707231676,3.148149677381903,25.0,-78.78745,11553.0,1.4569979442783834,118.25369799413347,17.578178939837535,172.25077258793164,93.55207688336202,1.1022619274886836,191.51545898266704,93.55116683905814,1.491529341647265,0.0004666966023449959,0.188363820675292,0.0010962624303090251,-77.3213110728548,,
2017_02_20_B,True,RA=70,70.0,1.0,True,"[1.0, 1.0]",False,True,after,0,0.034,87.47837637726546,0.18433610008567483,0.0001406995752151745,0.4589271928397467,0.0027868852459016396,0.1491327263489881,1.0003849655303367,5.000020722883678,25.000000000000014,-78.78745,12094.0,1.3918221639034365,118.30151785341698,38.151767571136865,260.3642979911918,111.2564308368003,5.789207948553326,301.2782087604443,111.25510276784225,7.595111950162973,0.0007886670954064812,0.5536089533548676,0.0026264928482930827,-71.20792381494492,3695.5316103384257,114.5927771554136
2017_02_20_B,True,RA=70,70.0,0.7941176470588235,True,"[1.0, 1.0]",False,True,after,1,0.027,90.38248120341727,0.3199755928835019,0.00011189544387610563,0.3644421825492106,0.0022131147540983605,0.1491327263489881,1.0003849655303367,5.000020722883678,25.000000000000014,-78.78745,12094.0,1.3918221639034365,118.30151785341698,24.126912270365242,196.59087169154716,84.24785191308787,2.5534432977923984,223.03212082463884,84.24677830858033,3.6876744834370925,0.0004522160989921531,0.22526913911683266,0.0014260378062687096,-75.10859161842548,3695.5316103384257,114.5927771554136
2017_02_20_B,True,RA=100,100.0,1.0,True,"[1.0, 1.0]",False,True,after,0,0.034,87.47837637726546,0.2271403593339239,0.00014287433210041084,0.4987184009915261,0.0027868852459016396,0.14686721881771855,1.0000020975763806,3.000000000008126,25.00000000000022,-78.78745,11379.0,1.4792773750108237,118.21824225166823,54.502525101624094,317.07370759190303,107.8357518683414,7.285188307872858,375.5191847080051,107.83379350733976,9.822020738519583,0.0007152926149842642,0.5649016127745625,0.003368471772532189,-68.97384918124398,,
2017_02_20_B,True,RA=100,100.0,0.7941176470588235,True,"[1.0, 1.0]",False,True,after,1,0.027,90.38248120341727,0.3942763848853502,0.0001131895780757344,0.3960410831403295,0.0022131147540983605,0.14686721881771855,1.0000020975763806,3.000000000008126,25.00000000000022,-78.78745,11379.0,1.4792773750108237,118.21824225166823,34.467017529093205,224.77775828030227,74.45588007319874,3.3964256769056504,262.5492135838984,74.4544380647314,5.1103750075578915,0.0003621752873925743,0.20381209893756136,0.0016613614849916303,-73.68128197311741,,
2017_02_20_B,True,RA=120,120.0,1.0,True,"[1.1, 1.0]",False,True,before,0,0.034,87.47416623258871,0.2540853403112366,0.0001453232604542729,0.21032040740790292,0.0027868852459020247,0.2683220976397336,1.5964320992878882,3.0148643001051703,25.0,-78.78745,10918.0,1.541738161773966,118.32736504464178,65.40303012194892,353.468997486776,105.59896841474493,4.421395903985896,423.6010390839781,105.59656936428594,5.8502228518250945,0.0007019607132576766,0.3668857664950309,0.0039022092548322007,-72.94663583938365,,
2017_02_20_B,True,RA=120,120.0,0.7941176470588235,True,"[1.1, 1.0]",False,True,before,1,0.027,90.42215668584512,0.4406832119023059,0.00011249527896004709,0.16701914705921703,0.0022131147540986663,0.2683220976397336,1.5964320992878882,3.0148643001051703,25.0,-78.78745,10918.0,1.541738161773966,118.32736504464178,41.360421034911845,242.07203468359663,68.9880693679599,1.9485319608937886,287.39631694056715,68.98639813968913,2.8571001596056647,0.0003323427375363508,0.12963021109445094,0.0018520176148228984,-75.93555563299249,,
2017_02_20_B,True,RA=120,120.0,1.0,True,"[1.0, 1.0]",False,True,before,0,0.034,79.52196930235338,0.23997252239469974,0.00014472475758341795,0.19897234549129802,0.002789692446709808,0.34320300408352694,1.5718150706677918,3.0000000019231736,25.000000000001158,-78.78745,10134.0,1.661012162053302,118.0539356671616,65.40303012194892,333.53173967063526,106.61739439189003,4.168866704693514,403.663394776251,106.61478364695137,5.594227021639028,0.0007065651663964445,0.3704774427932733,0.003679381709360996,-73.20341283874642,,
2017_02_20_B,True,RA=120,120.0,0.7941176470588235,True,"[1.0, 1.0]",False,True,before,1,0.027,82.20196062349557,0.4161528133102886,0.00011256049487330158,0.15800745083132486,0.0022153440017989652,0.34320300408352694,1.5718150706677918,3.0000000019231736,25.000000000001158,-78.78745,10134.0,1.661012162053302,118.0539356671616,41.360421034911845,232.5795583051197,71.70285133136649,1.80446841453076,277.9033549508173,71.70097955642404,2.6779981765131566,0.00034662768382531794,0.13526970409357375,0.0017783755436653337,-76.1169901170388,,
2017_02_20_B,True,RA=120,120.0,1.0,True,"[1.1, 1.0]",False,True,after,0,0.034,78.79486251971245,0.26828063504976724,0.00014389792326371394,0.5462457024128102,0.0027868852459016396,0.10359614322333098,1.0,3.000245770395712,25.000000000000092,-78.78745,11824.0,1.4236043005960894,118.28022067431361,65.40303012194892,321.966531674939,105.1782886467311,6.8104450432051635,392.1012439185629,105.17608335543378,10.186189289425613,0.0007028725228082067,0.5538794732933212,0.0035667091441808907,-68.60420983966164,,
2017_02_20_B,True,RA=120,120.0,0.7941176470588235,True,"[1.1, 1.0]",False,True,after,1,0.027,99.42072932375899,0.4657433456047664,0.00011339968324785257,0.4337833519160552,0.0022131147540983605,0.10359614322333098,1.0,3.000245770395712,25.000000000000092,-78.78745,11824.0,1.4236043005960894,118.28022067431361,41.360421034911845,252.54885784994374,66.2203687133677,4.081203273390912,297.87364326018184,66.21888780812586,6.200976783700256,0.0003193140843364972,0.17931006902203706,0.001943238852092577,-72.58985204464979,,
2017_02_20_B,True,RA=120,120.0,1.0,True,"[1.0, 1.0]",False,True,after,0,0.034,87.47837637726546,0.2536239503499394,0.00014440369369083457,0.5630983277868348,0.002786885246568028,0.10547081165088104,1.0031783146026312,3.0000012860512175,25.000000149276005,-78.78745,10952.0,1.536951903784529,118.16488131839618,65.40303012194892,353.46701945274873,105.48825908654473,8.193241642864493,423.5991156492414,105.48587001305147,11.305431291701495,0.0007058763016942748,0.5686745598740117,0.003914546777451733,-67.48632871348228,,
2017_02_20_B,True,RA=120,120.0,0.7941176470588235,True,"[1.0, 1.0]",False,True,after,1,0.027,90.38248120341727,0.44024731913585874,0.00011349958463411737,0.44716631912483934,0.0022131147546275514,0.10547081165088104,1.0031783146026312,3.0000012860512175,25.000000149276005,-78.78745,10952.0,1.536951903784529,118.16488131839618,41.360421034911845,242.25124400928138,68.99085861637278,3.9984870359269706,287.5755569214101,68.98919251628054,6.2225351759146434,0.0003339001328157565,0.19468804996785138,0.0018636147655968216,-72.56793870339472,,
2017_02_20_B,True,RA=150,150.0,1.0,True,"[1.0, 1.0]",False,True,after,0,0.034,87.47837637726546,0.29140876378720015,0.0001541572669706293,0.6192878664162614,0.0027868852459016396,0.10136705770893385,1.0,3.000871351237716,25.000000000000032,-78.78745,10370.0,1.623210920949678,118.08598348350738,81.75378765243613,405.89493810581837,101.89155091894354,9.389315040708198,493.55521451512107,101.88850352529846,13.452050968444993,0.000690781549835151,0.5715683467833941,0.004729972100633972,-65.33809133801127,,
2017_02_20_B,True,RA=150,150.0,0.7941176470588235,True,"[1.0, 1.0]",False,True,after,1,0.027,90.38248120341727,0.5058352212123418,0.00011406092571127546,0.4917874233305605,0.0022131147540983605,0.10136705770893385,1.0,3.000871351237716,25.000000000000032,-78.78745,10370.0,1.623210920949678,118.08598348350738,51.700526293639804,266.780543184481,62.016329571929575,4.862906794136592,323.4331809911951,62.01435211866919,7.808455703472276,0.0002987584468883142,0.18643823485912492,0.002156010079673365,-70.97992832738733,,
2017_02_20_B,True,RA=200,200.0,1.0,True,"[1.0, 1.0]",False,True,after,0,0.034,87.47837637726546,0.35117215481065883,0.00017916351964460394,0.7183168659272422,0.0027868852459016396,0.10155874355217173,1.0003921921850891,3.0018200106085513,25.0,-78.78745,9521.0,1.7679547579296462,117.97008399302766,109.00505020324819,487.4130752450255,95.77975044642245,11.190143251328564,604.282018841547,95.77558844214776,17.16744445781781,0.0006643054058628195,0.5721328879617147,0.006107722845172248,-61.62115571447769,,
