cell_name,full_trace,passive_parameter,RA,relative_relation,relative,shrinkage_resize,double_spine_area,from_picture,before_shrink,syn_num,PSD,distance,W_AMPA,W_NMDA,tau1_AMPA,tau2_AMPA,tau1_NMDA,tau2_NMDA,E_PAS,RM,CM,soma_Rin,neck_base_Rin,neck_base_Rtrans,spine_head_Rin,spine_head_Rtrans
2017_03_04_A_6-7,True,RA_min_error,63.0,[1.         0.34210526],True,"[1.0, 1.0]",False,False,after,0,0.114,26.24259028130588,1.782416315023565,0.22682169179776404,0.3983770010903924,1.7037295235676024,6.160225004627065,25.000000000000004,-78.43818,13559.000000000002,1.3537666831458794,413.7838028418898,261.0484347121515,65.82839897912089,261.0484347121515,65.82840744667642
2017_03_04_A_6-7,True,RA_min_error,63.0,[1.         0.34210526],True,"[1.0, 1.0]",False,False,after,1,0.039,50.89960797055999,0.6097740025080617,0.07759689456239297,0.3983770010903924,1.7037295235676024,6.160225004627065,25.000000000000004,-78.43818,13559.000000000002,1.3537666831458794,413.7838028418898,261.0484347121515,66.43895196671966,261.0484347121515,66.43895503401892
2017_03_04_A_6-7,True,RA_best_fit,140.0,[1.         0.34210526],True,"[1.0, 1.0]",False,False,after,0,0.114,26.24259028130588,2.021534525706991,0.43340978443698097,0.3999998522202102,1.6802011908278038,4.475854254526957,25.000000000000004,-78.43818,12073.0,1.5203944716951032,413.7746721978506,487.2052759281394,63.15101884323019,487.2052759281394,63.151047987774795
2017_03_04_A_6-7,True,RA_best_fit,140.0,[1.         0.34210526],True,"[1.0, 1.0]",False,False,after,1,0.039,50.89960797055999,0.6915776008997603,0.14827176836001982,0.3999998522202102,1.6802011908278038,4.475854254526957,25.000000000000004,-78.43818,12073.0,1.5203944716951032,413.7746721978506,487.2052759281394,63.42972850304013,487.2052759281394,63.42973900955946
2017_03_04_A_6-7,True,RA=100,100.0,[1.         0.34210526],True,"[1.0, 1.0]",False,False,after,0,0.114,26.24259028130588,1.847118187530018,0.3107326216282336,0.399999570197861,1.7426914638814226,4.633994467661373,25.000000000000004,-78.43818,12806.0,1.4333689252518336,251.04813212282335,371.03831821786406,64.50859683137809,371.03831821786406,64.50861232439226
2017_03_04_A_6-7,True,RA=100,100.0,[1.         0.34210526],True,"[1.0, 1.0]",False,False,after,1,0.039,50.89960797055999,0.6319088536286904,0.1063032652938694,0.399999570197861,1.7426914638814226,4.633994467661373,25.000000000000004,-78.43818,12806.0,1.4333689252518336,251.04813212282335,371.03831821786406,65.0761693653494,371.03831821786406,65.07617497491316
2017_03_04_A_6-7,True,RA=200,200.0,[1.         0.34210526],True,"[1.0, 1.0]",False,False,after,0,0.114,26.24259028130588,2.0837387890214814,0.36565898751877085,0.3991838719602326,1.8435675121311237,7.432512507772415,25.00000000503172,-78.43818,11096.0,1.6542648212666708,413.7838028418898,656.0632633736952,61.192611203271106,656.0632633736952,61.19265685788342
2017_03_04_A_6-7,True,RA=200,200.0,[1.         0.34210526],True,"[1.0, 1.0]",False,False,after,1,0.039,50.89960797055999,0.7128580067705068,0.12509386415115845,0.3991838719602326,1.8435675121311237,7.432512507772415,25.00000000503172,-78.43818,11096.0,1.6542648212666708,413.7838028418898,656.0632633736952,60.69566087273407,656.0632633736952,60.69567712570453
2017_03_04_A_6-7,True,RA=300,300.0,[1.         0.34210526],True,"[1.0, 1.0]",False,False,after,0,0.114,26.24259028130588,2.326131209177657,0.46204491782835283,0.39933380018698644,1.9737199023177212,6.527879845707098,25.000000000000004,-78.43818,9713.0,1.8898097865515269,656.0632633736952,923.3786829583291,58.087897985766425,923.3786829583291,58.08797314558087
2017_03_04_A_6-7,True,RA=300,300.0,[1.         0.34210526],True,"[1.0, 1.0]",False,False,after,1,0.039,50.89960797055999,0.7957817294555143,0.15806799820443648,0.39933380018698644,1.9737199023177212,6.527879845707098,25.000000000000004,-78.43818,9713.0,1.8898097865515269,656.0632633736952,923.3786829583291,55.74161297529499,923.3786829583291,55.74163886156172
2017_03_04_A_6-7,True,RA_min_error,68.0,[1.         0.34210526],True,"[1.0, 1.0]",False,False,before,0,0.114,58.40425941713309,2.4616040122247576,0.0037254901960786842,0.39180532412542535,1.000000002880593,3.232771674017652,25.176073640355117,-78.43818,12313.0,1.49075955955291,436.5168757366912,250.34618683940744,62.33108959044137,250.34618683940744,62.331089700111356
2017_03_04_A_6-7,True,RA_min_error,68.0,[1.         0.34210526],True,"[1.0, 1.0]",False,False,before,1,0.039,35.8739016214831,0.84212768839268,0.0012745098039216552,0.39180532412542535,1.000000002880593,3.232771674017652,25.176073640355117,-78.43818,12313.0,1.49075955955291,436.5168757366912,250.34618683940744,62.65456933958475,250.34618683940744,62.654569379150914
2017_03_04_A_6-7,True,RA_best_fit,154.0,[1.         0.34210526],True,"[1.0, 1.0]",False,False,before,0,0.114,58.40425941713309,11.102821694580259,0.003725718563344517,0.2276215855620086,1.000000115374535,11.246746744316868,25.070731189454825,-78.43818,10937.0,1.6783142046973558,100.5658846659816,472.83230444504284,58.759811506080865,472.83230444504284,58.75981201793421
2017_03_04_A_6-7,True,RA_best_fit,154.0,[1.         0.34210526],True,"[1.0, 1.0]",False,False,before,1,0.039,35.8739016214831,3.798333737619562,0.0012745879295652297,0.2276215855620086,1.000000115374535,11.246746744316868,25.070731189454825,-78.43818,10937.0,1.6783142046973558,100.5658846659816,472.83230444504284,59.37491476560274,472.83230444504284,59.3749149512362
