fit_condition,file_type,parameter_type,spine_start,shrinkage&resize_factors,double_spine_area,RM,RA,CM,error,same_strange
const_param,z_correct.swc,mean_best_10,20,"[1.0, 1.0]",False,11908.5,130.5,1.694690867366565,0.0338266636431926,relative_strange
const_param,z_correct.swc,RA=120,20,"[1.0, 1.0]",False,10460.0,120.0,1.9293440212909272,0.0340168320135124,relative_strange
const_param,z_correct.swc,RA=150,20,"[1.0, 1.0]",False,10053.0,150.0,2.0074543382774395,0.038664520709153,relative_strange
const_param,z_correct.swc,RA_min_error,20,"[1.0, 1.0]",False,10348.0,128.0,1.950225982093457,0.032687332028043,relative_strange
const_param,z_correct.swc,min_CM,20,"[1.0, 1.0]",False,12412.0,1.0,1.62592156483267,0.1783900800018073,relative_strange
const_param,z_correct.swc,RA_best_fit,20,"[1.0, 1.0]",False,8935.0,244.0,2.258638887823514,0.1012785315386223,relative_strange
const_param,z_correct.swc,mean_best_10,20,"[1.0, 1.0]",False,10327.8,129.5,1.954069009116716,0.0328957046492707,relative_strange
const_param,z_correct.swc,RA=120,20,"[1.0, 1.0]",False,10460.0,120.0,1.9293440212909272,0.0340168320135124,relative_strange
const_param,z_correct.swc,RA=150,20,"[1.0, 1.0]",False,10053.0,150.0,2.0074543382774395,0.038664520709153,relative_strange
const_param,z_correct.swc,RA_min_error,20,"[1.0, 1.0]",False,10348.0,128.0,1.950225982093457,0.032687332028043,relative_strange
const_param,z_correct.swc,min_CM,20,"[1.0, 1.0]",False,12412.0,1.0,1.62592156483267,0.1783900800018073,relative_strange
const_param,z_correct.swc,RA_best_fit,20,"[1.0, 1.0]",False,8935.0,244.0,2.258638887823514,0.1012785315386223,relative_strange
const_param,z_correct.swc,mean_best_10,20,"[1.0, 1.0]",False,10327.8,129.5,1.954069009116716,0.0328957046492707,relative_strange
const_param,z_correct.swc,RA=120,20,"[1.0, 1.0]",False,10460.0,120.0,1.9293440212909272,0.0340168320135124,relative_strange
const_param,z_correct.swc,RA=150,20,"[1.0, 1.0]",False,10053.0,150.0,2.0074543382774395,0.038664520709153,relative_strange
const_param,z_correct.swc,RA_min_error,20,"[1.0, 1.0]",False,10348.0,128.0,1.950225982093457,0.032687332028043,relative_strange
const_param,z_correct.swc,min_CM,20,"[1.0, 1.0]",False,12412.0,1.0,1.62592156483267,0.1783900800018073,relative_strange
const_param,z_correct.swc,RA_best_fit,20,"[1.0, 1.0]",False,8935.0,244.0,2.258638887823514,0.1012785315386223,relative_strange
const_param,z_correct.swc,mean_best_10,20,"[1.0, 1.0]",False,10327.8,129.5,1.954069009116716,0.0328957046492707,relative_strange
const_param,z_correct.swc,RA=120,20,"[1.0, 1.0]",False,10460.0,120.0,1.9293440212909272,0.0340168320135124,relative_strange
const_param,z_correct.swc,RA=150,20,"[1.0, 1.0]",False,10053.0,150.0,2.0074543382774395,0.038664520709153,relative_strange
const_param,z_correct.swc,RA_min_error,20,"[1.0, 1.0]",False,10348.0,128.0,1.950225982093457,0.032687332028043,relative_strange
const_param,z_correct.swc,min_CM,20,"[1.0, 1.0]",False,12412.0,1.0,1.62592156483267,0.1783900800018073,relative_strange
const_param,z_correct.swc,RA_best_fit,20,"[1.0, 1.0]",False,8935.0,244.0,2.258638887823514,0.1012785315386223,relative_strange
const_param,z_correct.swc,mean_best_10,20,"[1.0, 1.0]",False,10327.8,129.5,1.954069009116716,0.0328957046492707,relative_strange
