cell_name,full_trace,passive_parameter,RA,relative_relation,relative,shrinkage_resize,double_spine_area,from_picture,before_shrink,syn_num,PSD,distance,lambda,g_NMDA_spine,W_AMPA,W_NMDA,tau1_AMPA,tau2_AMPA,tau1_NMDA,tau2_NMDA,E_PAS,RM,CM,soma_Rin,Rneck,neck_base_Rin,neck_base_Rtrans,neck_base_V_high,spine_head_Rin,spine_head_Rtrans,spine_head_V_high,V_soma_NMDA,V_soma_AMPA,V_syn_NMDA,V_syn_AMPA
2016_05_12_A,True,RA_min_error,111.0,[1.         0.92857143],True,"[1.1, 1.0]",False,True,before,0,0.07,68.93659261691025,0.5171067778905664,0.0005747105852166836,1.140838845751193,0.013614971727527944,0.10049697875174218,1.2849996197212916,14.999999999999975,90.0,-82.57625,7876.000000000001,2.201908064036704,55.223427649938394,118.69014448338255,149.6079667695991,149.60796676959916,8.43972252006266,271.3661926562133,271.36619265621334,22.993383219608077,0.0017406482502337894,0.5822350088541981,0.012403286474523156,-59.59663320173652
2016_05_12_A,True,RA_min_error,111.0,[1.         0.92857143],True,"[1.1, 1.0]",False,True,before,1,0.065,62.343717436140736,0.5152399504186599,0.0005340028134251712,1.0593503567689648,0.012642473746990233,0.10049697875174218,1.2849996197212916,14.999999999999975,90.0,-82.57625,7876.000000000001,2.201908064036704,55.223427649938394,39.23966626230708,209.2375378502556,209.23753785025553,10.79716873999665,250.8965815954344,250.89658159543436,15.187491081946533,0.0017873180269276645,0.6277159370559389,0.010601433232409363,-67.42307302505381
2016_05_12_A,True,RA_min_error,122.0,[1.         0.92857143],True,"[1.0, 1.0]",False,True,before,0,0.07,62.66962965173657,0.5177885454256725,0.0004595674857246995,1.132890842716638,0.01088825716562085,0.10824955333029049,1.2969321251912553,15.0,89.99999999999993,-82.57625,7147.999999999999,2.426165068879837,55.05199782873242,130.45223087362766,149.4079645680328,149.4079645680328,8.328496690366407,283.2182177578219,283.2182177578219,24.068317566446325,0.001387841877573237,0.5786533103193676,0.010364931455484339,-58.5209561274972
2016_05_12_A,True,RA_min_error,122.0,[1.         0.92857143],True,"[1.0, 1.0]",False,True,before,1,0.065,56.67610676012794,0.5159815757258952,0.00042701920035847455,1.051970068236878,0.010110524510933645,0.10824955333029049,1.2969321251912553,15.0,89.99999999999993,-82.57625,7147.999999999999,2.426165068879837,55.05199782873242,43.12828183785104,208.94414214234627,208.94414214234632,10.783725326182136,254.72504207396906,254.7250420739691,15.615592899814516,0.0014247382326857405,0.6285650194824512,0.008611966088309941,-66.99346697468131
2016_05_12_A,True,RA_min_error,111.0,[1.         0.92857143],True,"[1.1, 1.0]",False,True,after,0,0.07,68.93659261691025,0.5171067778905664,0.0018264481276021277,0.4881629132165829,0.043319191087746414,0.3009667346755693,1.5570428553747007,15.0,89.99999999999999,-82.57625,7876.000000000001,2.201908064036704,55.229285088038836,118.69014448338255,149.64596667640373,149.64596667640376,5.0133220817823485,271.48725686955356,271.48725686955356,12.575833736890601,0.0055376078677653595,0.3816995951337816,0.039471075954892854,-70.02814064853195
2016_05_12_A,True,RA_min_error,111.0,[1.         0.92857143],True,"[1.1, 1.0]",False,True,after,1,0.065,62.343717436140736,0.5152399504186599,0.0016962868176950523,0.45329413370111266,0.04022496315290738,0.3009667346755693,1.5570428553747007,15.0,89.99999999999999,-82.57625,7876.000000000001,2.201908064036704,55.229285088038836,39.23966626230708,209.3052651266631,209.30526512666307,6.308659749085564,250.9931537654405,250.9931537654405,8.5279514849193,0.0056832640287325376,0.4000449288250678,0.03372126606232939,-74.0976520286911
2016_05_12_A,True,RA_min_error,122.0,[1.         0.92857143],True,"[1.0, 1.0]",False,True,after,0,0.07,62.66962965173657,0.5177885454256725,0.0018405740710695077,0.49065115613878496,0.04366990072006932,0.31848902038236276,1.5269705714928228,15.0,100.0,-82.57625,7147.999999999999,2.426165068879837,55.059542095056244,130.45223087362766,149.45708171765762,149.45708171765762,5.008636459424196,283.388950883104,283.38895088310386,13.316183864191046,0.005607607280168736,0.3810144615204649,0.04164675358251202,-69.28734403862553
2016_05_12_A,True,RA_min_error,122.0,[1.         0.92857143],True,"[1.0, 1.0]",False,True,after,1,0.065,56.67610676012794,0.5159815757258952,0.00170917217863203,0.45560464498601455,0.04055062209720723,0.31848902038236276,1.5269705714928228,15.0,100.0,-82.57625,7147.999999999999,2.426165068879837,55.059542095056244,43.12828183785104,209.0316758014529,209.0316758014529,6.3481106393345925,254.85398330973453,254.85398330973453,8.8115582142037,0.00575152481141572,0.40094619746231785,0.03459833871028195,-73.81374556878032
2016_05_12_A,True,RA=100,100.0,[1.         0.92857143],True,"[1.0, 1.0]",False,True,after,0,0.07,62.66962965173657,0.4529937371787162,0.0017939406884521535,0.47201393315154117,0.04255704535462635,0.3403321326261156,1.4787435588047373,14.999999894845175,89.99999982082883,-82.57625,7654.999999999999,2.265477192991911,54.435213289552394,106.92805809313742,132.37086799139905,132.37086799139905,4.398964372446883,242.12755314773707,242.12755314773707,11.174055155196626,0.005596308445646514,0.38089718756906166,0.03440256102611272,-71.43674282998006
2016_05_12_A,True,RA=100,100.0,[1.         0.92857143],True,"[1.0, 1.0]",False,True,after,1,0.065,56.67610676012794,0.4514128873037968,0.001665892884146994,0.4382986522121453,0.03951725640072446,0.3403321326261156,1.4787435588047373,14.999999894845175,89.99999982082883,-82.57625,7654.999999999999,2.265477192991911,54.435213289552394,35.351050686763145,183.54182035369587,183.5418203536959,5.662721639161077,221.0959683748229,221.09596837482295,7.652088486434977,0.0057170613736019504,0.40109035689971506,0.02902588366258385,-74.98741421830739
